type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,263.67
cublas,1,0.94,1,0.06,0.11,0.5,0.08,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.14
cudnn,1,0.82,0.75,0.1,0.3,0.12,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.99
trt,1.0,0.54,1.0,0.04,0.12,0.3,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.18
trt,1.0,0.54,1.0,0.05,0.12,0.3,0.21,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,350.43
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.12
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.0
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.03,0.22,0.86,0.0,0.47,797.78
cudnn,1.0,0.84,0.74,0.04,0.26,0.16,0.21,0.02,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,667.64
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.62
cublas,1.0,0.92,0.88,0.05,0.08,0.18,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.04
cudnn,1.0,0.84,0.74,0.03,0.26,0.16,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,633.12
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.89
cublas,1.0,0.92,0.88,0.04,0.08,0.2,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,802.49
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,642.66
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.94
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.13,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.82
cudnn,1.0,0.84,0.74,0.05,0.26,0.17,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,639.99
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.25
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,796.98
cudnn,1.0,0.84,0.74,0.03,0.26,0.16,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,642.69
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.78
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.44
cudnn,1.0,0.85,0.74,0.04,0.26,0.16,0.21,0.01,0.76,0.33,0.2,0.59,0.26,0.1,0.09,0.2,0.75,0.0,0.73,758.02
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.65
cublas,1.0,0.92,0.88,0.04,0.08,0.2,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.01
cudnn,1.0,0.84,0.74,0.04,0.26,0.15,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.81,670.6
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.49
cublas,1.0,0.92,0.88,0.04,0.08,0.14,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.67
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.81,650.38
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,351.66
cublas,1.0,0.92,0.88,0.05,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.88
cudnn,1.0,0.85,0.74,0.04,0.26,0.16,0.21,0.01,0.77,0.32,0.2,0.59,0.26,0.1,0.09,0.2,0.74,0.0,0.81,714.9
trt,1.0,0.54,1.0,0.04,0.12,0.3,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.12
cublas,1.0,0.92,0.88,0.05,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.06
cudnn,1.0,0.84,0.74,0.03,0.26,0.17,0.2,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,643.39
trt,1.0,0.54,1.0,0.04,0.12,0.3,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,358.49
cublas,1.0,0.92,0.88,0.05,0.08,0.18,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.03,0.22,0.86,0.0,0.45,798.4
cudnn,1.0,0.84,0.74,0.05,0.26,0.16,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,642.17
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,353.75
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,796.09
cudnn,1.0,0.84,0.74,0.06,0.25,0.16,0.2,0.02,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.76,0.0,0.89,641.63
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.26
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,800.16
cudnn,1.0,0.84,0.74,0.06,0.25,0.16,0.2,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,632.95
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.65
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.03,0.22,0.86,0.0,0.45,800.26
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,638.33
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.74
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.25
cudnn,1.0,0.85,0.74,0.06,0.26,0.14,0.21,0.01,0.77,0.32,0.2,0.59,0.26,0.1,0.09,0.2,0.75,0.0,0.81,719.35
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.33
cublas,1.0,0.92,0.88,0.05,0.08,0.23,0.12,0.04,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.52
cudnn,1.0,0.84,0.74,0.04,0.27,0.16,0.2,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.74,636.25
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.88
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.53
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.21,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.81,627.85
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.28
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,795.99
cudnn,1.0,0.84,0.74,0.04,0.27,0.15,0.21,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,652.6
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.93
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,796.99
cudnn,1.0,0.84,0.74,0.06,0.26,0.16,0.2,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.65,0.0,0.73,640.63
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.98
cublas,1.0,0.92,0.88,0.04,0.08,0.15,0.13,0.06,0.37,0.33,0.13,0.49,0.18,0.1,0.02,0.22,0.21,0.0,0.37,797.27
cudnn,1.0,0.84,0.74,0.05,0.25,0.16,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.81,635.96
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.71
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,796.82
cudnn,1.0,0.84,0.74,0.03,0.27,0.16,0.21,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,636.92
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.7
cublas,1.0,0.92,0.88,0.04,0.08,0.22,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.66
cudnn,1.0,0.84,0.74,0.03,0.26,0.16,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.81,644.69
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.31
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.49
cudnn,1.0,0.84,0.74,0.03,0.26,0.16,0.2,0.02,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,639.45
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.64
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.2
cudnn,1.0,0.85,0.74,0.06,0.24,0.18,0.21,0.01,0.76,0.32,0.2,0.59,0.26,0.1,0.09,0.2,0.75,0.0,0.73,758.59
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.71
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,796.09
cudnn,1.0,0.84,0.74,0.03,0.26,0.17,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,640.89
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,353.14
cublas,1.0,0.92,0.88,0.04,0.08,0.15,0.14,0.06,0.37,0.33,0.13,0.49,0.18,0.1,0.02,0.22,0.21,0.0,0.45,797.22
cudnn,1.0,0.84,0.74,0.05,0.26,0.16,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,664.86
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.69
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.49
cudnn,1.0,0.85,0.74,0.06,0.25,0.15,0.2,0.01,0.76,0.32,0.2,0.59,0.27,0.1,0.1,0.2,0.75,0.0,0.81,761.98
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.49
cublas,1.0,0.92,0.88,0.04,0.08,0.2,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.42
cudnn,1.0,0.84,0.74,0.03,0.27,0.16,0.21,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,648.09
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.66
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.21,0.0,0.45,798.07
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.2,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,639.16
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,358.06
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.2
cudnn,1.0,0.85,0.74,0.04,0.25,0.17,0.22,0.01,0.76,0.32,0.2,0.59,0.26,0.1,0.1,0.2,0.74,0.0,0.73,755.74
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.19
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.39
cudnn,1.0,0.84,0.74,0.04,0.26,0.16,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,664.53
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.9
cublas,1.0,0.92,0.88,0.05,0.08,0.18,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.21,0.0,0.45,795.67
cudnn,1.0,0.84,0.74,0.05,0.26,0.17,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,634.57
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.92
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.14
cudnn,1.0,0.84,0.74,0.04,0.26,0.16,0.2,0.01,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,632.0
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.51
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.36
cudnn,1.0,0.84,0.74,0.04,0.25,0.16,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,650.09
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.98
cublas,1.0,0.92,0.88,0.04,0.08,0.14,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.13
cudnn,1.0,0.84,0.74,0.05,0.26,0.16,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,628.21
trt,1.0,0.54,1.0,0.05,0.13,0.28,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.86
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.56
cudnn,1.0,0.84,0.74,0.05,0.26,0.16,0.21,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,634.71
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.06
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.5
cudnn,1.0,0.84,0.74,0.04,0.26,0.16,0.21,0.02,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.81,675.48
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,353.03
cublas,1.0,0.92,0.88,0.04,0.08,0.14,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,797.72
cudnn,1.0,0.84,0.74,0.04,0.26,0.15,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,643.51
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.91
cublas,1.0,0.92,0.88,0.05,0.08,0.23,0.12,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.02
cudnn,1.0,0.84,0.74,0.04,0.27,0.15,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,653.04
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,353.67
cublas,1.0,0.92,0.88,0.05,0.08,0.2,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.5
cudnn,1.0,0.84,0.74,0.04,0.26,0.16,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,643.51
trt,1.0,0.54,1.0,0.04,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.4
cublas,1.0,0.92,0.88,0.04,0.08,0.22,0.12,0.04,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,799.1
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.81,645.39
